   BCE    , Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
   0.01   ,  99.87   ,  43260   ,    79    ,  76578   ,    83    
   0.00   ,  99.97   ,  43342   ,    40    ,  76617   ,    1     
   0.32   ,  88.87   ,  30175   ,   193    ,  76464   ,  13168   
   0.56   ,  72.91   ,  10933   ,    97    ,  76560   ,  32410   
   0.54   ,  73.80   ,  11957   ,    52    ,  76605   ,  31386   
   0.55   ,  73.48   ,  11667   ,   144    ,  76513   ,  31676   
   0.55   ,  73.67   ,  11787   ,    39    ,  76618   ,  31556   
   0.55   ,  73.46   ,  11552   ,    54    ,  76603   ,  31791   
   0.56   ,  73.27   ,  11656   ,   386    ,  76271   ,  31687   
   0.62   ,  67.65   ,   4566   ,    43    ,  76614   ,  38777   
