 Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
  100.00  ,  68601   ,    5     ,  68596   ,    0     
  99.99   ,  68601   ,    7     ,  68594   ,    0     
  99.99   ,  68601   ,    10    ,  68591   ,    0     
  100.00  ,  68601   ,    6     ,  68595   ,    0     
  100.00  ,  68601   ,    4     ,  68597   ,    0     
  100.00  ,  68601   ,    6     ,  68595   ,    0     
  100.00  ,  68601   ,    5     ,  68596   ,    0     
  100.00  ,  68601   ,    5     ,  68596   ,    0     
  100.00  ,  68601   ,    3     ,  68598   ,    0     
  100.00  ,  68601   ,    3     ,  68598   ,    0     
