 Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
  99.96   ,  57579   ,    1     ,  57618   ,    40    
  99.96   ,  57590   ,    17    ,  57602   ,    29    
  99.97   ,  57583   ,    4     ,  57615   ,    36    
  99.96   ,  57598   ,    22    ,  57597   ,    21    
  99.97   ,  57595   ,    11    ,  57608   ,    24    
  99.96   ,  57604   ,    28    ,  57591   ,    15    
  99.96   ,  57606   ,    30    ,  57589   ,    13    
  99.97   ,  57600   ,    10    ,  57609   ,    19    
  99.87   ,  57611   ,   143    ,  57476   ,    8     
  99.95   ,  57609   ,    47    ,  57572   ,    10    
