, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    3     ,  57.27   ,  68508   ,  58538   ,  10063   ,    93    
    3     ,  56.59   ,  68301   ,  59255   ,   9346   ,   300    
    3     ,  55.74   ,  67094   ,  59213   ,   9388   ,   1507   
    3     ,  57.38   ,  68465   ,  58342   ,  10259   ,   136    
    3     ,  55.10   ,  65393   ,  58395   ,  10206   ,   3208   
    3     ,  56.40   ,  68567   ,  59791   ,   8810   ,    34    
    2     ,  53.17   ,  68600   ,  64246   ,   4355   ,    1     
    3     ,  56.98   ,  68000   ,  58425   ,  10176   ,   601    
    3     ,  55.87   ,  66394   ,  58334   ,  10267   ,   2207   
    3     ,  56.15   ,  67102   ,  58664   ,   9937   ,   1499   
