, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    5     ,  57.49   ,  54118   ,  45484   ,  12135   ,   3501   
    6     ,  55.09   ,  50208   ,  44345   ,  13274   ,   7411   
    6     ,  56.46   ,  51096   ,  43652   ,  13967   ,   6523   
    4     ,  56.12   ,  54931   ,  47874   ,   9745   ,   2688   
    6     ,  59.32   ,  53576   ,  42831   ,  14788   ,   4043   
    5     ,  58.42   ,  55391   ,  45687   ,  11932   ,   2228   
    5     ,  56.99   ,  53676   ,  45620   ,  11999   ,   3943   
    6     ,  58.28   ,  52258   ,  42715   ,  14904   ,   5361   
    6     ,  57.83   ,  51808   ,  42780   ,  14839   ,   5811   
    6     ,  56.35   ,  49794   ,  42474   ,  15145   ,   7825   
