           Accuracy           ,        Benign-correct        ,      Benign-not-correct      ,    FTP-BruteForce-correct    ,  FTP-BruteForce-not-correct  ,    SSH-Bruteforce-correct    ,  SSH-Bruteforce-not-correct  
            100.00            ,            38093             ,              1               ,            19335             ,              1               ,            18758             ,              0               
            99.98             ,            38079             ,              15              ,            19336             ,              0               ,            18757             ,              1               
            100.00            ,            38093             ,              1               ,            19336             ,              0               ,            18758             ,              0               
            100.00            ,            38094             ,              0               ,            19335             ,              1               ,            18756             ,              2               
            99.99             ,            38092             ,              2               ,            19335             ,              1               ,            18757             ,              1               
            99.97             ,            38070             ,              24              ,            19336             ,              0               ,            18758             ,              0               
            100.00            ,            38094             ,              0               ,            19335             ,              1               ,            18757             ,              1               
            100.00            ,            38091             ,              3               ,            19336             ,              0               ,            18758             ,              0               
            100.00            ,            38094             ,              0               ,            19336             ,              0               ,            18757             ,              1               
            100.00            ,            38093             ,              1               ,            19335             ,              1               ,            18757             ,              1               
