 Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
  94.26   ,    59    ,    5     ,    56    ,    2     
  91.80   ,    58    ,    7     ,    54    ,    3     
  94.26   ,    60    ,    6     ,    55    ,    1     
  90.98   ,    57    ,    7     ,    54    ,    4     
  90.98   ,    59    ,    9     ,    52    ,    2     
  90.98   ,    59    ,    9     ,    52    ,    2     
  92.62   ,    58    ,    6     ,    55    ,    3     
  90.98   ,    58    ,    8     ,    53    ,    3     
  91.80   ,    60    ,    9     ,    52    ,    1     
  90.98   ,    58    ,    8     ,    53    ,    3     
