 Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
  89.13   ,    23    ,    5     ,    18    ,    0     
  93.48   ,    22    ,    2     ,    21    ,    1     
  93.48   ,    23    ,    3     ,    20    ,    0     
  84.78   ,    22    ,    6     ,    17    ,    1     
  91.30   ,    23    ,    4     ,    19    ,    0     
  91.30   ,    23    ,    4     ,    19    ,    0     
  84.78   ,    22    ,    6     ,    17    ,    1     
  95.65   ,    22    ,    1     ,    22    ,    1     
  86.96   ,    23    ,    6     ,    17    ,    0     
  89.13   ,    22    ,    4     ,    19    ,    1     
