 Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
  93.75   ,    8     ,    1     ,    7     ,    0     
  93.75   ,    7     ,    0     ,    8     ,    1     
  87.50   ,    8     ,    2     ,    6     ,    0     
  68.75   ,    8     ,    5     ,    3     ,    0     
  93.75   ,    8     ,    1     ,    7     ,    0     
  87.50   ,    8     ,    2     ,    6     ,    0     
  100.00  ,    8     ,    0     ,    8     ,    0     
  100.00  ,    8     ,    0     ,    8     ,    0     
  93.75   ,    8     ,    1     ,    7     ,    0     
  75.00   ,    7     ,    3     ,    5     ,    1     
