, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    10    ,  67.21   ,    41    ,    20    ,    41    ,    20    
    11    ,  69.67   ,    42    ,    18    ,    43    ,    19    
    12    ,  69.67   ,    40    ,    16    ,    45    ,    21    
    11    ,  70.49   ,    37    ,    12    ,    49    ,    24    
    12    ,  70.49   ,    40    ,    15    ,    46    ,    21    
    11    ,  63.93   ,    35    ,    18    ,    43    ,    26    
    10    ,  70.49   ,    40    ,    15    ,    46    ,    21    
    12    ,  71.31   ,    41    ,    15    ,    46    ,    20    
    11    ,  70.49   ,    41    ,    16    ,    45    ,    20    
    12    ,  65.57   ,    35    ,    16    ,    45    ,    26    
