, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    12    ,  60.87   ,    7     ,    2     ,    21    ,    16    
    11    ,  60.87   ,    13    ,    8     ,    15    ,    10    
    10    ,  56.52   ,    12    ,    9     ,    14    ,    11    
    12    ,  65.22   ,    8     ,    1     ,    22    ,    15    
    10    ,  45.65   ,    7     ,    9     ,    14    ,    16    
    13    ,  39.13   ,    0     ,    5     ,    18    ,    23    
    12    ,  76.09   ,    12    ,    0     ,    23    ,    11    
    12    ,  76.09   ,    16    ,    4     ,    19    ,    7     
    11    ,  60.87   ,    13    ,    8     ,    15    ,    10    
    14    ,  39.13   ,    0     ,    5     ,    18    ,    23    
