, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    19    ,  75.00   ,    4     ,    0     ,    8     ,    4     
    19    ,  75.00   ,    4     ,    0     ,    8     ,    4     
    19    ,  62.50   ,    3     ,    1     ,    7     ,    5     
    18    ,  68.75   ,    5     ,    2     ,    6     ,    3     
    18    ,  43.75   ,    3     ,    4     ,    4     ,    5     
    19    ,  81.25   ,    5     ,    0     ,    8     ,    3     
    18    ,  62.50   ,    5     ,    3     ,    5     ,    3     
    17    ,  75.00   ,    7     ,    3     ,    5     ,    1     
    17    ,  68.75   ,    5     ,    2     ,    6     ,    3     
    17    ,  56.25   ,    3     ,    2     ,    6     ,    5     
