           Accuracy           ,        Benign-correct        ,      Benign-not-correct      ,    FTP-BruteForce-correct    ,  FTP-BruteForce-not-correct  ,    SSH-Bruteforce-correct    ,  SSH-Bruteforce-not-correct  
            100.00            ,            38093             ,              1               ,            19336             ,              0               ,            18757             ,              1               
            100.00            ,            38094             ,              0               ,            19336             ,              0               ,            18756             ,              2               
            99.98             ,            38080             ,              14              ,            19336             ,              0               ,            18758             ,              0               
            99.99             ,            38091             ,              3               ,            19336             ,              0               ,            18757             ,              1               
            100.00            ,            38093             ,              1               ,            19336             ,              0               ,            18758             ,              0               
            100.00            ,            38093             ,              1               ,            19336             ,              0               ,            18758             ,              0               
            99.99             ,            38090             ,              4               ,            19334             ,              2               ,            18758             ,              0               
            100.00            ,            38093             ,              1               ,            19336             ,              0               ,            18758             ,              0               
            99.99             ,            38091             ,              3               ,            19336             ,              0               ,            18756             ,              2               
            100.00            ,            38093             ,              1               ,            19336             ,              0               ,            18758             ,              0               
