           Accuracy           ,        Benign-correct        ,      Benign-not-correct      ,   DDOS attack-HOIC-correct   , DDOS attack-HOIC-not-correct , DDOS attack-LOIC-UDP-correct ,DDOS attack-LOIC-UDP-not-correct,DoS attacks-GoldenEye-correct ,DoS attacks-GoldenEye-not-correct,   DoS attacks-Hulk-correct   , DoS attacks-Hulk-not-correct ,DoS attacks-SlowHTTPTest-correct,DoS attacks-SlowHTTPTest-not-correct,DoS attacks-Slowloris-correct ,DoS attacks-Slowloris-not-correct,    FTP-BruteForce-correct    ,  FTP-BruteForce-not-correct  ,    SSH-Bruteforce-correct    ,  SSH-Bruteforce-not-correct  
            99.96             ,            172181            ,             118              ,            68601             ,              0               ,             173              ,              0               ,             4149             ,              1               ,            46191             ,              0               ,            13989             ,              0               ,             1090             ,              9               ,            19336             ,              0               ,            18758             ,              0               
            99.96             ,            172167            ,             132              ,            68601             ,              0               ,             173              ,              0               ,             4150             ,              0               ,            46191             ,              0               ,            13989             ,              0               ,             1089             ,              10              ,            19336             ,              0               ,            18758             ,              0               
            99.95             ,            172147            ,             152              ,            68601             ,              0               ,             173              ,              0               ,             4150             ,              0               ,            46191             ,              0               ,            13989             ,              0               ,             1083             ,              16              ,            19335             ,              1               ,            18757             ,              1               
            99.95             ,            172131            ,             168              ,            68601             ,              0               ,             172              ,              1               ,             4150             ,              0               ,            46191             ,              0               ,            13989             ,              0               ,             1086             ,              13              ,            19336             ,              0               ,            18756             ,              2               
            99.96             ,            172166            ,             133              ,            68601             ,              0               ,             173              ,              0               ,             4149             ,              1               ,            46190             ,              1               ,            13989             ,              0               ,             1094             ,              5               ,            19336             ,              0               ,            18757             ,              1               
            99.95             ,            172156            ,             143              ,            68601             ,              0               ,             173              ,              0               ,             4150             ,              0               ,            46191             ,              0               ,            13989             ,              0               ,             1084             ,              15              ,            19336             ,              0               ,            18756             ,              2               
            99.96             ,            172160            ,             139              ,            68601             ,              0               ,             173              ,              0               ,             4150             ,              0               ,            46191             ,              0               ,            13989             ,              0               ,             1092             ,              7               ,            19336             ,              0               ,            18758             ,              0               
            99.96             ,            172175            ,             124              ,            68601             ,              0               ,             173              ,              0               ,             4150             ,              0               ,            46191             ,              0               ,            13989             ,              0               ,             1088             ,              11              ,            19336             ,              0               ,            18758             ,              0               
            99.95             ,            172149            ,             150              ,            68601             ,              0               ,             173              ,              0               ,             4150             ,              0               ,            46190             ,              1               ,            13989             ,              0               ,             1089             ,              10              ,            19336             ,              0               ,            18750             ,              8               
            99.96             ,            172173            ,             126              ,            68600             ,              1               ,             173              ,              0               ,             4149             ,              1               ,            46191             ,              0               ,            13989             ,              0               ,             1088             ,              11              ,            19336             ,              0               ,            18758             ,              0               
