                Accuracy                ,                r-value                 ,             Benign-correct             ,           Benign-not-correct           ,              Bot-correct               ,            Bot-not-correct             ,        DDOS attack-HOIC-correct        ,      DDOS attack-HOIC-not-correct      ,     DDoS attacks-LOIC-HTTP-correct     ,   DDoS attacks-LOIC-HTTP-not-correct   ,     DoS attacks-GoldenEye-correct      ,   DoS attacks-GoldenEye-not-correct    ,        DoS attacks-Hulk-correct        ,      DoS attacks-Hulk-not-correct      ,    DoS attacks-SlowHTTPTest-correct    ,  DoS attacks-SlowHTTPTest-not-correct  ,     DoS attacks-Slowloris-correct      ,   DoS attacks-Slowloris-not-correct    ,         FTP-BruteForce-correct         ,       FTP-BruteForce-not-correct       ,         Infilteration-correct          ,       Infilteration-not-correct        ,         SSH-Bruteforce-correct         ,       SSH-Bruteforce-not-correct       
                 44.09                  ,                   3                    ,                  899                   ,                 273658                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4132                  ,                   18                   ,                 46191                  ,                   0                    ,                   0                    ,                 13989                  ,                  1099                  ,                   0                    ,                   0                    ,                 19336                  ,                 16172                  ,                   21                   ,                 18754                  ,                   4                    
                 50.05                  ,                   3                    ,                  318                   ,                 274239                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4150                  ,                   0                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16176                  ,                   17                   ,                 18758                  ,                   0                    
                 50.16                  ,                   3                    ,                  930                   ,                 273627                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4117                  ,                   33                   ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16179                  ,                   14                   ,                 18758                  ,                   0                    
                 37.15                  ,                   4                    ,                 28928                  ,                 245629                 ,                 28618                  ,                   1                    ,                 43975                  ,                 24626                  ,                 56570                  ,                  1049                  ,                  3473                  ,                  677                   ,                  8915                  ,                 37276                  ,                   0                    ,                 13989                  ,                  882                   ,                  217                   ,                   0                    ,                 19336                  ,                 13853                  ,                  2340                  ,                 18755                  ,                   3                    
                 50.00                  ,                   2                    ,                   1                    ,                 274556                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4150                  ,                   0                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16193                  ,                   0                    ,                 18758                  ,                   0                    
                 50.00                  ,                   2                    ,                   3                    ,                 274554                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4150                  ,                   0                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16193                  ,                   0                    ,                 18758                  ,                   0                    
                 50.15                  ,                   3                    ,                  907                   ,                 273650                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4096                  ,                   54                   ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16174                  ,                   19                   ,                 18758                  ,                   0                    
                 41.27                  ,                   3                    ,                  1299                  ,                 273258                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4089                  ,                   61                   ,                 30385                  ,                 15806                  ,                   0                    ,                 13989                  ,                  1099                  ,                   0                    ,                   0                    ,                 19336                  ,                 16155                  ,                   38                   ,                 18755                  ,                   3                    
                 50.00                  ,                   2                    ,                   2                    ,                 274555                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4150                  ,                   0                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16193                  ,                   0                    ,                 18758                  ,                   0                    
                 50.00                  ,                   2                    ,                   3                    ,                 274554                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4150                  ,                   0                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16193                  ,                   0                    ,                 18758                  ,                   0                    
