                Accuracy                ,             Benign-correct             ,           Benign-not-correct           ,              Bot-correct               ,            Bot-not-correct             ,        DDOS attack-HOIC-correct        ,      DDOS attack-HOIC-not-correct      ,     DDoS attacks-LOIC-HTTP-correct     ,   DDoS attacks-LOIC-HTTP-not-correct   ,     DoS attacks-GoldenEye-correct      ,   DoS attacks-GoldenEye-not-correct    ,        DoS attacks-Hulk-correct        ,      DoS attacks-Hulk-not-correct      ,    DoS attacks-SlowHTTPTest-correct    ,  DoS attacks-SlowHTTPTest-not-correct  ,     DoS attacks-Slowloris-correct      ,   DoS attacks-Slowloris-not-correct    ,         FTP-BruteForce-correct         ,       FTP-BruteForce-not-correct       ,         Infilteration-correct          ,       Infilteration-not-correct        ,         SSH-Bruteforce-correct         ,       SSH-Bruteforce-not-correct       
                 97.29                  ,                 272604                 ,                  1953                  ,                 28518                  ,                  101                   ,                 68600                  ,                   1                    ,                 57453                  ,                  166                   ,                  4150                  ,                   0                    ,                 46187                  ,                   4                    ,                 13989                  ,                   0                    ,                  1085                  ,                   14                   ,                 19336                  ,                   0                    ,                  3532                  ,                 12661                  ,                 18756                  ,                   2                    
                 97.24                  ,                 272458                 ,                  2099                  ,                 28595                  ,                   24                   ,                 68601                  ,                   0                    ,                 57456                  ,                  163                   ,                  4149                  ,                   1                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1088                  ,                   11                   ,                 19336                  ,                   0                    ,                  3338                  ,                 12855                  ,                 18758                  ,                   0                    
                 97.24                  ,                 272636                 ,                  1921                  ,                 28451                  ,                  168                   ,                 68599                  ,                   2                    ,                 57457                  ,                  162                   ,                  4147                  ,                   3                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1087                  ,                   12                   ,                 19335                  ,                   1                    ,                  3330                  ,                 12863                  ,                 18757                  ,                   1                    
                 97.26                  ,                 272614                 ,                  1943                  ,                 28535                  ,                   84                   ,                 68601                  ,                   0                    ,                 57453                  ,                  166                   ,                  4149                  ,                   1                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1088                  ,                   11                   ,                 19335                  ,                   1                    ,                  3356                  ,                 12837                  ,                 18757                  ,                   1                    
                 97.23                  ,                 272516                 ,                  2041                  ,                 28569                  ,                   50                   ,                 68601                  ,                   0                    ,                 57450                  ,                  169                   ,                  4149                  ,                   1                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1088                  ,                   11                   ,                 19336                  ,                   0                    ,                  3243                  ,                 12950                  ,                 18755                  ,                   3                    
                 97.24                  ,                 272546                 ,                  2011                  ,                 28531                  ,                   88                   ,                 68601                  ,                   0                    ,                 57442                  ,                  177                   ,                  4149                  ,                   1                    ,                 46186                  ,                   5                    ,                 13989                  ,                   0                    ,                  1087                  ,                   12                   ,                 19334                  ,                   2                    ,                  3314                  ,                 12879                  ,                 18755                  ,                   3                    
                 97.26                  ,                 272565                 ,                  1992                  ,                 28565                  ,                   54                   ,                 68600                  ,                   1                    ,                 57459                  ,                  160                   ,                  4149                  ,                   1                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1086                  ,                   13                   ,                 19336                  ,                   0                    ,                  3393                  ,                 12800                  ,                 18756                  ,                   2                    
                 97.21                  ,                 272296                 ,                  2261                  ,                 28585                  ,                   34                   ,                 68600                  ,                   1                    ,                 57438                  ,                  181                   ,                  4150                  ,                   0                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1081                  ,                   18                   ,                 19336                  ,                   0                    ,                  3354                  ,                 12839                  ,                 18758                  ,                   0                    
                 97.22                  ,                 272588                 ,                  1969                  ,                 28576                  ,                   43                   ,                 68599                  ,                   2                    ,                 57444                  ,                  175                   ,                  4149                  ,                   1                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  859                   ,                  240                   ,                 19335                  ,                   1                    ,                  3364                  ,                 12829                  ,                 18758                  ,                   0                    
                 97.22                  ,                 272679                 ,                  1878                  ,                 28301                  ,                  318                   ,                 68601                  ,                   0                    ,                 57444                  ,                  175                   ,                  4149                  ,                   1                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1084                  ,                   15                   ,                 19336                  ,                   0                    ,                  3292                  ,                 12901                  ,                 18758                  ,                   0                    
