   BCE    , Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
   0.08   ,  99.68   ,  43021   ,    64    ,  76593   ,   322    
   0.01   ,  99.76   ,  43336   ,   285    ,  76372   ,    7     
   0.05   ,  99.00   ,  42362   ,   220    ,  76437   ,   981    
   0.03   ,  98.57   ,  41641   ,    14    ,  76643   ,   1702   
   0.03   ,  98.63   ,  41757   ,    60    ,  76597   ,   1586   
   0.03   ,  98.88   ,  42510   ,   505    ,  76152   ,   833    
   0.03   ,  98.96   ,  42247   ,   152    ,  76505   ,   1096   
   0.04   ,  98.41   ,  42194   ,   756    ,  75901   ,   1149   
   0.03   ,  98.94   ,  42246   ,   176    ,  76481   ,   1097   
   0.03   ,  98.84   ,  42189   ,   237    ,  76420   ,   1154   
