Number of Benign Instances: 2070498
Number of Malicious Instances: 1035249
Number of Benign Instances: 207049
Number of FTP-BruteForce Instances: 19336
Number of SSH-Bruteforce Instances: 18758
Number of DoS attacks-GoldenEye Instances: 4150
Number of DoS attacks-Slowloris Instances: 1099
Number of DoS attacks-SlowHTTPTest Instances: 13989
Number of DoS attacks-Hulk Instances: 46191

   BCE    , Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
   0.01   ,  99.83   ,  103409  ,   400    ,  206649  ,   114    
   0.00   ,  99.94   ,  103512  ,   163    ,  206886  ,    11    
   0.01   ,  99.57   ,  102401  ,   225    ,  206824  ,   1122   
   0.04   ,  98.50   ,  99092   ,   238    ,  206811  ,   4431   
   0.01   ,  99.62   ,  102605  ,   268    ,  206781  ,   918    
   0.39   ,  89.98   ,  100660  ,  28260   ,  178789  ,   2863   
   0.01   ,  99.60   ,  102695  ,   400    ,  206649  ,   828    
   0.01   ,  99.52   ,  102384  ,   343    ,  206706  ,   1139   
   0.02   ,  99.66   ,  103352  ,   879    ,  206170  ,   171    
   0.04   ,  99.31   ,  102108  ,   736    ,  206313  ,   1415   
