, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    23    ,  72.07   ,   8934   ,   655    ,  18103   ,   9824   
    23    ,  71.16   ,   9062   ,   1124   ,  17634   ,   9696   
    23    ,  73.43   ,   9342   ,   551    ,  18207   ,   9416   
    23    ,  72.39   ,   9167   ,   768    ,  17990   ,   9591   
    23    ,  71.77   ,   9332   ,   1166   ,  17592   ,   9426   
    23    ,  73.44   ,   9318   ,   524    ,  18234   ,   9440   
    22    ,  69.88   ,   9370   ,   1913   ,  16845   ,   9388   
    23    ,  70.51   ,   9491   ,   1798   ,  16960   ,   9267   
    23    ,  71.85   ,   9323   ,   1127   ,  17631   ,   9435   
    23    ,  72.23   ,   8847   ,   507    ,  18251   ,   9911   
