 Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
  100.00  ,  19336   ,    0     ,  19336   ,    0     
  99.98   ,  19336   ,    9     ,  19327   ,    0     
  99.99   ,  19333   ,    1     ,  19335   ,    3     
  100.00  ,  19336   ,    1     ,  19335   ,    0     
  100.00  ,  19336   ,    0     ,  19336   ,    0     
  100.00  ,  19336   ,    0     ,  19336   ,    0     
  100.00  ,  19336   ,    0     ,  19336   ,    0     
  99.99   ,  19336   ,    5     ,  19331   ,    0     
  100.00  ,  19336   ,    0     ,  19336   ,    0     
  100.00  ,  19336   ,    0     ,  19336   ,    0     
