 Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
  99.98   ,  18751   ,    0     ,  18758   ,    7     
  99.99   ,  18756   ,    1     ,  18757   ,    2     
  100.00  ,  18757   ,    0     ,  18758   ,    1     
  99.99   ,  18757   ,    4     ,  18754   ,    1     
  100.00  ,  18758   ,    0     ,  18758   ,    0     
  100.00  ,  18758   ,    0     ,  18758   ,    0     
  100.00  ,  18758   ,    0     ,  18758   ,    0     
  99.94   ,  18758   ,    22    ,  18736   ,    0     
  100.00  ,  18758   ,    0     ,  18758   ,    0     
  100.00  ,  18758   ,    0     ,  18758   ,    0     
