, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    16    ,  99.99   ,  19336   ,    4     ,  19332   ,    0     
    16    ,  99.99   ,  19336   ,    3     ,  19333   ,    0     
    16    ,  100.00  ,  19336   ,    1     ,  19335   ,    0     
    16    ,  99.97   ,  19336   ,    12    ,  19324   ,    0     
    16    ,  99.99   ,  19336   ,    2     ,  19334   ,    0     
    16    ,  99.97   ,  19336   ,    11    ,  19325   ,    0     
    16    ,  99.98   ,  19336   ,    7     ,  19329   ,    0     
    16    ,  99.98   ,  19336   ,    7     ,  19329   ,    0     
    16    ,  99.98   ,  19336   ,    8     ,  19328   ,    0     
    16    ,  99.99   ,  19336   ,    2     ,  19334   ,    0     
