 Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
  99.99   ,   4150   ,    1     ,   4149   ,    0     
  99.96   ,   4148   ,    1     ,   4149   ,    2     
  99.99   ,   4150   ,    1     ,   4149   ,    0     
  99.99   ,   4149   ,    0     ,   4150   ,    1     
  100.00  ,   4150   ,    0     ,   4150   ,    0     
  99.96   ,   4150   ,    3     ,   4147   ,    0     
  100.00  ,   4150   ,    0     ,   4150   ,    0     
  99.98   ,   4150   ,    2     ,   4148   ,    0     
  100.00  ,   4150   ,    0     ,   4150   ,    0     
  100.00  ,   4150   ,    0     ,   4150   ,    0     
