 Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
  99.77   ,   1099   ,    5     ,   1094   ,    0     
  99.86   ,   1099   ,    3     ,   1096   ,    0     
  99.86   ,   1099   ,    3     ,   1096   ,    0     
  99.82   ,   1099   ,    4     ,   1095   ,    0     
  99.73   ,   1099   ,    6     ,   1093   ,    0     
  99.77   ,   1099   ,    5     ,   1094   ,    0     
  99.73   ,   1097   ,    4     ,   1095   ,    2     
  99.77   ,   1098   ,    4     ,   1095   ,    1     
  99.77   ,   1098   ,    4     ,   1095   ,    1     
  99.68   ,   1098   ,    6     ,   1093   ,    1     
