, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    12    ,  67.92   ,   2748   ,   1261   ,   2889   ,   1402   
    12    ,  68.94   ,   2776   ,   1204   ,   2946   ,   1374   
    14    ,  63.49   ,   2089   ,   969    ,   3181   ,   2061   
    14    ,  68.13   ,   2557   ,   1052   ,   3098   ,   1593   
    12    ,  65.67   ,   2521   ,   1220   ,   2930   ,   1629   
    11    ,  64.81   ,   2772   ,   1543   ,   2607   ,   1378   
    12    ,  66.51   ,   2607   ,   1237   ,   2913   ,   1543   
    13    ,  68.51   ,   2696   ,   1160   ,   2990   ,   1454   
    11    ,  67.55   ,   2891   ,   1434   ,   2716   ,   1259   
    13    ,  66.43   ,   2519   ,   1155   ,   2995   ,   1631   
