, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    14    ,  70.47   ,   665    ,   215    ,   884    ,   434    
    16    ,  74.70   ,   624    ,    81    ,   1018   ,   475    
    18    ,  70.75   ,   489    ,    33    ,   1066   ,   610    
    15    ,  73.29   ,   654    ,   142    ,   957    ,   445    
    15    ,  64.79   ,   507    ,   182    ,   917    ,   592    
    16    ,  69.38   ,   516    ,    90    ,   1009   ,   583    
    14    ,  73.07   ,   704    ,   197    ,   902    ,   395    
    15    ,  73.79   ,   659    ,   136    ,   963    ,   440    
    14    ,  68.88   ,   657    ,   242    ,   857    ,   442    
    15    ,  72.70   ,   668    ,   169    ,   930    ,   431    
