 Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
  99.80   ,  34291   ,   139    ,  34152   ,    0     
  99.82   ,  34291   ,   125    ,  34166   ,    0     
  99.80   ,  34291   ,   137    ,  34154   ,    0     
  99.80   ,  34291   ,   138    ,  34153   ,    0     
  99.78   ,  34291   ,   150    ,  34141   ,    0     
  99.78   ,  34291   ,   149    ,  34142   ,    0     
  99.83   ,  34289   ,   113    ,  34178   ,    2     
  99.80   ,  34291   ,   137    ,  34154   ,    0     
  99.80   ,  34291   ,   137    ,  34154   ,    0     
  99.78   ,  34291   ,   152    ,  34139   ,    0     
