 Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
  100.00  ,  10385   ,    0     ,  10385   ,    0     
  100.00  ,  10385   ,    0     ,  10385   ,    0     
  100.00  ,  10385   ,    0     ,  10385   ,    0     
  100.00  ,  10385   ,    0     ,  10385   ,    0     
  100.00  ,  10385   ,    0     ,  10385   ,    0     
  100.00  ,  10385   ,    0     ,  10385   ,    0     
  100.00  ,  10385   ,    0     ,  10385   ,    0     
  100.00  ,  10385   ,    0     ,  10385   ,    0     
  100.00  ,  10385   ,    0     ,  10385   ,    0     
  100.00  ,  10385   ,    0     ,  10385   ,    0     
