, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    25    ,  50.00   ,    1     ,    0     ,  34291   ,  34290   
    25    ,  50.00   ,    0     ,    3     ,  34288   ,  34291   
    28    ,  50.00   ,    0     ,    0     ,  34291   ,  34291   
    1     ,  50.00   ,  34291   ,  34291   ,    0     ,    0     
    25    ,  50.00   ,    0     ,    3     ,  34288   ,  34291   
    23    ,  49.96   ,    0     ,    28    ,  34263   ,  34291   
    26    ,  50.00   ,    0     ,    0     ,  34291   ,  34291   
    25    ,  50.00   ,    0     ,    1     ,  34290   ,  34291   
    25    ,  50.00   ,    0     ,    0     ,  34291   ,  34291   
    25    ,  49.97   ,    0     ,    21    ,  34270   ,  34291   
