, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    5     ,  100.00  ,  10385   ,    0     ,  10385   ,    0     
    5     ,  100.00  ,  10385   ,    1     ,  10384   ,    0     
    5     ,  100.00  ,  10385   ,    0     ,  10385   ,    0     
    5     ,  100.00  ,  10385   ,    1     ,  10384   ,    0     
    5     ,  100.00  ,  10385   ,    0     ,  10385   ,    0     
    5     ,  100.00  ,  10385   ,    1     ,  10384   ,    0     
    5     ,  100.00  ,  10385   ,    0     ,  10385   ,    0     
    5     ,  100.00  ,  10385   ,    0     ,  10385   ,    0     
    5     ,  100.00  ,  10385   ,    0     ,  10385   ,    0     
    5     ,  100.00  ,  10385   ,    0     ,  10385   ,    0     
